a	aː
stúlkum	s t u l̥ k ʏ m
stúlkuna	s t u l̥ k ʏ n a
stúlkunnar	s t u l̥ k ʏ n a r
stúlkunni	s t u l̥ k ʏ n ɪ
stúlkunum	s t u l̥ k ɔ n ʏ m
stúlkur	s t u l̥ k ʏ r
stúlkurnar	s t u l̥ k ʏ r t n a r
stússa	s t u s a
stússi	s t u s ɪ
stúta	s t uː t a
stútfull	s t uː t f ʏ t l̥
stútinn	s t uː t ɪ n
stútkönnunni	s t uː t kʰ œ n ʏ n ɪ
stútnum	s t u h t n ʏ m
stýra	s t iː r a
stýri	s t iː r ɪ
stýring	s t iː r i ŋ k
stýringu	s t iː r i ŋ k ʏ
stýrinu	s t iː r ɪ n ʏ
stýrir	s t iː r ɪ r
stýrishanskarnir	s t iː r ɪ s h a n s k a t n ɪ r
stýrið	s t iː r ɪ ð
stýrt	s t i r̥ t
stýrði	s t i r ð ɪ
stýrðu	s t i r ð ʏ
subbulegt	s ʏ p ʏ l ɛ x t
sukku	s ʏ h k ʏ
sull	s ʏ t l̥
sulla	s ʏ t l a
sullandi	s ʏ t l a n t ɪ
sullaði	s ʏ t l a ð ɪ
sullaðist	s ʏ t l a ð ɪ s t
sulta	s ʏ l̥ t a
sulti	s ʏ l̥ t ɪ
sultu	s ʏ l̥ t ʏ
sultukrukku	s ʏ l̥ t ʏ k r ʏ h k ʏ
sultuna	s ʏ l̥ t ʏ n a
sultunni	s ʏ l̥ t ʏ n ɪ
sulturinn	s ʏ l̥ t ʏ r ɪ n
sum	s ʏː m
suma	s ʏː m a
sumar	s ʏː m a r
sumarafgreiðslutími	s ʏː m a r a v k r ei ð s t l ʏ t iː m ɪ
sumarbrids	s ʏː m a r p r ɪ t s
sumarbústaðinn	s ʏː m a r p uː s t a ð ɪ n
sumardekkjum	s ʏː m a r t ɛ h c ʏ m
sumarexemi	s ʏː m a r ɛ k s ɛ m ɪ
sumarfría	s ʏː m a r f r i j a
sumarfríi	s ʏː m a r̥ f r iː j ɪ
sumarfríið	s ʏː m a r̥ f r iː j ɪ ð
sumarið	s ʏː m a r ɪ ð
sumarlokunum	s ʏː m a r l ɔː k ʏ n ʏ m
sumarmánuðina	s ʏː m a r m auː n ʏ ð ɪ n a
sumarorlofstíma	s ʏː m a r ɔ r l ɔ f s tʰ iː m a
sumarorlofstímabili	s ʏː m a r ɔ r l ɔ f s tʰ iː m a p ɪ l ɪ
sumars	s ʏː m a r̥ s
sumarsins	s ʏː m a r̥ s ɪ n s
sumarspegillinn	s ʏː m a r s p ei j ɪ t l ɪ n
sumartímann	s ʏː m a r t iː m a n
sumaryl	s ʏː m a r ɪː l
sumbli	s ʏ m p l ɪ
sumir	s ʏː m ɪ r
summa	s ʏ m a
sumpart	s ʏ m p a r̥ t
sumra	s ʏ m r a
sumri	s ʏ m r ɪ
sumrin	s ʏ m r ɪ n
sumrinu	s ʏ m r ɪ n ʏ
sumrum	s ʏ m r ʏ m
sums	s ʏ m s
sumstaðar	s ʏ m s t a ð a r
sumsé	s ʏ m s j ɛː
sumt	s ʏ m̥ t
sumum	s ʏː m ʏ m
sumur	s ʏː m ʏ r
sund	s ʏ n t
sundahöfn	s ʏ n t a h œ p n̥
sundbolur	s ʏ n t p ɔː l ʏ r
sundbuxur	s ʏ n t p ʏ k s ʏ r
sundhetta	s ʏ n t h ɛ h t a
sundhöll	s ʏ n t h œ t l̥
sundhöllin	s ʏ n t h œ t l ɪ n
sundhöllinni	s ʏ n t h œ t l ɪ n ɪ
sundi	s ʏ n t ɪ
sundin	s ʏ n t ɪ n
sundinu	s ʏ n t ɪ n ʏ
sundið	s ʏ n t ɪ ð
sundkennarann	s ʏ n t c ɛ n a r a n
sundlar	s ʏ n t l a r
sundlaug	s ʏ n t l œy ɣ
sundlaugar	s ʏ n t l œy ɣ a r
sundlaugarinnar	s ʏ n t l œy ɣ a r ɪ n a r
sundlaugin	s ʏ n t l œy j ɪ n
sundlaugina	s ʏ n t l œy j ɪ n a
sundlauginni	s ʏ n t l œy j ɪ n ɪ
sundlaugum	s ʏ n t l œy ɣ ʏ m
sundlaði	s ʏ n t l a ð ɪ
sundmanna	s ʏ n t m a n a
sundmaður	s ʏ n t m a ð ʏ r
sundmenn	s ʏ n t m ɛ n
sundmiðstöð	s ʏ n t m ɪ ð s t œ ð
sundrast	s ʏ n t r a s t
sundrað	s ʏ n t r a ð
sundraði	s ʏ n t r a ð ɪ
sundraðist	s ʏ n t r a ð ɪ s t
sunds	s ʏ n t s
sundstaðir	s ʏ n t s t a ð ɪ r
sundtíma	s ʏ n tʰ i m a
sundtímanum	s ʏ n tʰ i m a n ʏ m
sundtök	s ʏ n t t œ k
sundtökunum	s ʏ n tʰ œ k ɔ n ʏ m
sundur	s ʏ n t ʏ r
sundurleitir	s ʏ n t ʏ r l eiː t ɪ r
sundurleitustu	s ʏ n t ʏ r l eiː t ʏ s t ʏ
sundurliðaður	s ʏ n t ʏ r l ɪː ð a ð ʏ r
sundurskotið	s ʏ n t ʏ r̥ s k ɔː t ɪ ð
sungin	s u ɲ c ɪ n
sunginn	s u ɲ c ɪ n
sungið	s u ɲ c ɪ ð
sungnir	s u ŋ n ɪ r
sungum	s u ŋ k ʏ m
sunna	s ʏ n a
sunnan	s ʏ n a n
sunnanverðum	s ʏ n a n v ɛ r ð ʏ m
sunnar	s ʏ n a r
sunneva	s ʏ n ɛ v a
sunnlendinga	s ʏ n l ɛ n t i ŋ k a
sunnlendingum	s ʏ n l ɛ n t i ŋ k ʏ m
sunnu	s ʏ n ʏ
sunnudagsbíltúrana	s ʏ n ʏ t a x s p i l t u r a n a
surts	s ʏ r̥ t s
surtsey	s ʏ r̥ t s ei
sus	s ʏː s
suss	s ʏ s
sussaði	s ʏ s a ð ɪ
suð	s ʏː ð
suða	s ʏː ð a
suðandi	s ʏː ð a n t ɪ
suðar	s ʏː ð a r
suðarar	s ʏː ð a r a r
suðaustan	s ʏː ð œy s t a n
suðaustur	s ʏː ð œy s t ʏ r
suðað	s ʏː ð a ð
suðaði	s ʏː ð a ð ɪ
suðið	s ʏː ð ɪ ð
suðri	s ʏ ð r ɪ
suðu	s ʏː ð ʏ
suður	s ʏː ð ʏ r
suðurbæjarlaug	s ʏː ð ʏ r p ai j a r l œyː ɣ
suðurlandströllið	s ʏː ð ʏ r l a n t s tʰ r œ t l ɪ ð
suðurlandsveg	s ʏː ð ʏ r l a n t s v ɛː ɣ
suðurlandsvegi	s ʏː ð ʏ r l a n t s v eiː j ɪ
suðurnesin	s ʏː ð ʏ r n ɛː s ɪ n
suðurnesja	s ʏː ð ʏ r n ɛː s j a
suðurnesjum	s ʏː ð ʏ r n ɛ s j ʏ m
suðurs	s ʏː ð ʏ r̥ s
suðurstrandarinnar	s ʏː ð ʏ r s t r a n t a r ɪ n a r
suðvestan	s ʏ ð v ɛ s t a n
suðvestur	s ʏ ð v ɛ s t ʏ r
suðvesturhlutanum	s ʏ ð v ɛ s t ʏ r l̥ ʏː t a n ʏ m
suðvesturskagann	s ʏ ð v ɛ s t ʏ r̥ s k a ɣ a n
svaf	s v aː v
svafst	s v a f s t
svaka	s v aː k a
svakaleg	s v aː k a l ɛ ɣ
svakalega	s v aː k a l ɛ ɣ a
svakalegasta	s v aː k a l ɛː ɣ a s t a
svakalegra	s v aː k a l ɛ ɣ r a
svakalegri	s v aː k a l ɛ ɣ r ɪ
svakalegt	s v aː k a l ɛ x t
svala	s v aː l a
svalandi	s v aː l a n t ɪ
svalar	s v aː l a r
svalara	s v aː l a r a
svalasta	s v aː l a s t a
svalað	s v aː l a ð
svalaði	s v aː l a ð ɪ
svalbarða	s v a l p a r ð a
svalbarði	s v a l p a r ð ɪ
svalbarðseyri	s v a l p a r s eiː r ɪ
svalbarðsstrandarhreppi	s v a l p a r ð s t r a n t a r̥ ɛ h p ɪ
svalbarðsströnd	s v a l p a r ð s t r œ n t
svali	s v aː l ɪ
svalir	s v aː l ɪ r
svall	s v a t l̥
svalt	s v a l̥ t
svalur	s v aː l ʏ r
svalviðri	s v a l v ɪ ð r ɪ
svamp	s v a m̥ p
svampefni	s v a m̥ p ɛ p n ɪ
svampfylling	s v a m̥ p f ɪ t l i ŋ k
svampgrýta	s v a m̥ p k r i t a
svampi	s v a m̥ p ɪ
svampsessur	s v a m̥ p s ɛ s ʏ r
svan	s v aː n
svana	s v aː n a
svanborg	s v a m p ɔ r k
svandís	s v a n t i s
svanfríður	s v a n f r i ð ʏ r
svanginn	s v au ɲ c ɪ n
svangur	s v au ŋ k ʏ r
svanhildar	s v aː n h ɪ l t a r
svanhildi	s v aː n h ɪ l t ɪ
svanhildur	s v aː n h ɪ l t ʏ r
svanhvít	s v a ŋ k v i t
svanhvítar	s v a ŋ k v i t a r
svani	s v aː n ɪ
svanir	s v aː n ɪ r
svanirnir	s v aː n ɪ r t n ɪ r
svansdóttir	s v a n s t ou h t ɪ r
svansmerkið	s v a n s m ɛ r̥ c ɪ ð
svanurinn	s v aː n ʏ r ɪ n
svar	s v aː r
svara	s v aː r a
svarafátt	s v aː r a f au h t
svarar	s v aː r a r
svarað	s v aː r a ð
svaraði	s v aː r a ð ɪ
svaraðir	s v aː r a ð ɪ r
svaraðu	s v aː r a ð ʏ
svarblöðin	s v a r p l œ ð ɪ n
svarbréf	s v a r p r j ɛ v
svarbréfin	s v a r p r j ɛː v ɪ n
svarenda	s v aː r ɛ n t a
svarfdæla	s v a r v t ai l a
svarhólf	s v aː r h ou l v
svari	s v aː r ɪ
svarinn	s v aː r ɪ n
svarinu	s v aː r ɪ n ʏ
svarið	s v aː r ɪ ð
svars	s v a r̥ s
svart	s v a r̥ t
svarta	s v a r̥ t a
svartamyrkur	s v a r̥ t a m ɪ r̥ k ʏ r
svartan	s v a r̥ t a n
svartar	s v a r̥ t a r
svartasta	s v a r̥ t a s t a
svartfjallaland	s v a r̥ t f j a t l a l a n t
svartfjallalandi	s v a r̥ t f j a t l a l a n t ɪ
svartfjallalands	s v a r̥ t f j a t l a l a n s
svarthvít	s v a r̥ t k v i t
svarthvítar	s v a r̥ t k v i t a r
svarthvítt	s v a r̥ t kʰ v i h t
svarti	s v a r̥ t ɪ
svartir	s v a r̥ t ɪ r
svartklædd	s v a r̥ t k l ai t
svartklæddar	s v a r̥ t k l ai t a r
svartlistasafnið	s v a r̥ t l ɪ s t a s a p n ɪ ð
svartra	s v a r̥ t r a
svartri	s v a r̥ t r ɪ
svartrottuna	s v a r̥ t r ɔ h t ʏ n a
svarts	s v a r̥ t s
svartsengi	s v a r̥ t s ei ɲ c ɪ
svartur	s v a r̥ t ʏ r
svava	s v aː v a
svavar	s v aː v a r
svavari	s v aː v a r ɪ
svavars	s v aː v a r̥ s
svaðinu	s v aː ð ɪ n ʏ
svaðið	s v aː ð ɪ ð
svefn	s v ɛ p n̥
svefnfelmtur	s v ɛ p n̥ f ɛ l m̥ t ʏ r
svefnherbergishurðina	s v ɛ p n h ɛ r p ɛ c ɪ s h ʏ r ð ɪ n a
svefnherbergið	s v ɛ p n h ɛ r p ɛ c ɪ ð
svefnhöfgi	s v ɛ p n h œ v c ɪ
svefni	s v ɛ p n ɪ
svefninn	s v ɛ p n ɪ n
svefninum	s v ɛ p n ɪ n ʏ m
svefns	s v ɛ p s
svefnskálann	s v ɛ p s k au l a n
sveif	s v eiː v
sveifla	s v ei p l a
sveiflar	s v ei p l a r
sveiflast	s v ei p l a s t
sveiflaði	s v ei p l a ð ɪ
sveiflaðist	s v ei p l a ð ɪ s t
sveiflu	s v ei p l ʏ
sveiflum	s v ei p l ʏ m
sveiflur	s v ei p l ʏ r
sveiflurnar	s v ei p l ʏ t n a r
sveifluðust	s v ei p l ʏ ð ʏ s t
sveigir	s v ei j ɪ r
sveigja	s v ei j a
sveigjanlegri	s v ei j a n l ɛ ɣ r ɪ
sveigjanlegt	s v ei j a n l ɛ x t
sveigjanlegur	s v ei j a n l ɛː ɣ ʏ r
sveigjanleika	s v ei j a n l eiː k a
sveigjanleiki	s v ei j a n l eiː k ɪ
sveigt	s v ei x t
sveigðist	s v ei ɣ ð ɪ s t
sveigðu	s v ei ɣ ð ʏ
sveigðum	s v ei ɣ ð ʏ m
sveik	s v eiː k
sveima	s v eiː m a
sveimar	s v eiː m a r
sveimaði	s v eiː m a ð ɪ
sveimi	s v eiː m ɪ
svein	s v eiː n
sveina	s v eiː n a
sveinbarn	s v ei m p a r t n̥
sveinbjörn	s v ei m p j œ r t n̥
sveini	s v eiː n ɪ
sveininn	s v eiː n ɪ n
sveinn	s v ei t n̥
sveipar	s v eiː p a r
sveipað	s v eiː p a ð
sveipaðir	s v eiː p a ð ɪ r
sveipaður	s v eiː p a ð ʏ r
sveit	s v eiː t
sveita	s v eiː t a
sveitanna	s v eiː t a n a
sveitar	s v eiː t a r
sveitarferðinni	s v eiː t a r f ɛ r ð ɪ n ɪ
sveitarinnar	s v eiː t a r ɪ n a r
sveitarstjórnir	s v eiː t a r s t j ou r t n ɪ r
sveitin	s v eiː t ɪ n
sveitina	s v eiː t ɪ n a
sveitinni	s v eiː t ɪ n ɪ
sveitir	s v eiː t ɪ r
sveitirnar	s v eiː t ɪ r t n a r
sveitt	s v ei h t
sveitta	s v ei h t a
sveittan	s v ei h t a n
sveittir	s v ei h t ɪ r
sveittum	s v ei h t ʏ m
sveittur	s v ei h t ʏ r
sveitum	s v eiː t ʏ m
sveitunga	s v eiː t u ŋ k a
sveitungar	s v eiː t u ŋ k a r
sveitungum	s v eiː t u ŋ k ʏ m
sveitunum	s v eiː t ɔ n ʏ m
svekkja	s v ɛ h c a
svekkjandi	s v ɛ h c a n t ɪ
svekktur	s v ɛ x t ʏ r
svelgdist	s v ɛ l t ɪ s t
svellandi	s v ɛ t l a n t ɪ
svellum	s v ɛ t l ʏ m
svelta	s v ɛ l̥ t a
svelti	s v ɛ l̥ t ɪ
sven	s v ɛ n
svengd	s v ei ŋ t
svenna	s v ɛ n a
svenni	s v ɛ n ɪ
svensson	s v ɛ n s ɔ n
sveppa	s v ɛ h p a
sveppalyfið	s v ɛ h p a l ɪː v ɪ ð
sveppi	s v ɛ h p ɪ
sveppir	s v ɛ h p ɪ r
sveppum	s v ɛ h p ʏ m
sver	s v ɛː r
svera	s v ɛː r a
sverfi	s v ɛ r v ɪ
sverið	s v ɛː r ɪ ð
sverja	s v ɛ r j a
sverri	s v ɛ r ɪ
sverrir	s v ɛ r ɪ r
sverris	s v ɛ r ɪ s
sverta	s v ɛ r̥ t a
svertingi	s v ɛ r̥ t i ɲ c ɪ
svertinginn	s v ɛ r̥ t i ɲ c ɪ n
svertingjum	s v ɛ r̥ t i ɲ c ʏ m
svertingsson	s v ɛ r̥ t i ŋ k s ɔː n
sverum	s v ɛː r ʏ m
sverð	s v ɛ r ð
sverði	s v ɛ r ð ɪ
sverðinu	s v ɛ r ð ɪ n ʏ
sverðið	s v ɛ r ð ɪ ð
sverðum	s v ɛ r ð ʏ m
sveskja	s v ɛ s c a
sveðju	s v ɛ ð j ʏ
svifdrekaflug	s v ɪ v t r ɛ k a f l ʏː ɣ
svifflug	s v ɪ f l ʏ ɣ
svifi	s v ɪː v ɪ
svifið	s v ɪː v ɪ ð
svifnökkva	s v ɪ v n œ h k v a
svifryk	s v ɪ v r ɪ k
svifrykið	s v ɪ v r ɪ c ɪ ð
svifu	s v ɪː v ʏ
svifum	s v ɪː v ʏ m
svig	s v ɪː ɣ
sviga	s v ɪː ɣ a
svigi	s v ɪ j ɪ
sviginn	s v iː j ɪ n
svignaskarði	s v ɪ k n a s k a r ð ɪ
svignaði	s v ɪ k n a ð ɪ
svignuðu	s v ɪ k n ʏ ð ʏ
svigrúm	s v ɪ ɣ r u m
svigrúms	s v ɪ ɣ r u m s
svik	s v ɪː k
svika	s v ɪː k a
svikara	s v ɪː k a r a
svikari	s v ɪː k a r ɪ
svikin	s v ɪː c ɪ n
svikinn	s v ɪː c ɪ n
svikist	s v ɪː c ɪ s t
svikið	s v ɪː c ɪ ð
sviknir	s v ɪ h k n ɪ r
svikráðum	s v ɪː k r au ð ʏ m
sviksemi	s v ɪː k s ɛ m ɪ
sviku	s v ɪː k ʏ
svikula	s v ɪː k ʏ l a
svikum	s v ɪː k ʏ m
svima	s v ɪː m a
svimandi	s v ɪː m a n t ɪ
svimar	s v ɪː m a r
svimaði	s v ɪː m a ð ɪ
svimi	s v ɪː m ɪ
sviminn	s v ɪː m ɪ n
svindl	s v ɪ n t l̥
svindla	s v ɪ n t l a
svindlað	s v ɪ n t l a ð
svindlvörn	s v ɪ n t l v œ r t n̥
svip	s v ɪː p
svipa	s v ɪː p a
svipan	s v ɪː p a n
svipar	s v ɪː p a r
svipast	s v ɪː p a s t
svipað	s v ɪː p a ð
svipaða	s v ɪː p a ð a
svipaðan	s v ɪː p a ð a n
svipaðar	s v ɪː p a ð a r
svipaði	s v ɪː p a ð ɪ
svipaðir	s v ɪː p a ð ɪ r
svipaðri	s v ɪː p a ð r ɪ
svipaður	s v ɪː p a ð ʏ r
svipbrigðalaus	s v ɪː p r ɪ ɣ ð a l œyː s
svipbrigði	s v ɪː p r ɪ ɣ ð ɪ
sviphendingu	s v ɪː p h ɛ n t i ŋ k ʏ
svipinn	s v ɪː p ɪ n
svipir	s v ɪː p ɪ r
sviplaus	s v ɪː p l œy s
sviplaust	s v ɪː p l œy s t
sviplega	s v ɪː p l ɛ ɣ a
svipmyndir	s v ɪː p m ɪ n t ɪ r
svipmyndum	s v ɪː p m ɪ n t ʏ m
svipmót	s v ɪː p m ou t
svipnum	s v ɪ h p n ʏ m
svipstundu	s v ɪː p s t ʏ n t ʏ
svipt	s v ɪ f t
svipta	s v ɪ f t a
svipti	s v ɪ f t ɪ
sviptingar	s v ɪ f t i ŋ k a r
sviptingu	s v ɪ f t i ŋ k ʏ
sviptir	s v ɪ f t ɪ r
sviptist	s v ɪ f t ɪ s t
sviptu	s v ɪ f t ʏ
sviptur	s v ɪ f t ʏ r
svipu	s v ɪː p ʏ
svipul	s v ɪː p ʏ l
svipuna	s v ɪː p ʏ n a
svipunni	s v ɪː p ʏ n ɪ
svipur	s v ɪː p ʏ r
svipurinn	s v ɪː p ʏ r ɪ n
svipuð	s v ɪː p ʏ ð
svipuðu	s v ɪː p ʏ ð ʏ
svipuðum	s v ɪː p ʏ ð ʏ m
sviss	s v ɪ s
svissnesk	s v ɪ s t n ɛ s k
svissneska	s v ɪ s t n ɛ s k a
svissneski	s v ɪ s t n ɛ s c ɪ
svissneskra	s v ɪ s t n ɛ s k r a
svissnesku	s v ɪ s t n ɛ s k ʏ
svita	s v ɪː t a
svitadroparnir	s v ɪː t a t r ɔː p a t n ɪ r
svitann	s v ɪː t a n
svitaperlur	s v ɪː t a p ɛ r t l ʏ r
sviti	s v ɪː t ɪ
svitinn	s v ɪː t ɪ n
svitna	s v ɪ h t n a
svitnað	s v ɪ h t n a ð
svitnaði	s v ɪ h t n a ð ɪ
svið	s v ɪː ð
sviða	s v ɪː ð a
sviðann	s v ɪː ð a n
sviði	s v ɪː ð ɪ
sviðinn	s v ɪː ð ɪ n
sviðinu	s v ɪː ð ɪ n ʏ
sviðið	s v ɪː ð ɪ ð
sviðnar	s v ɪ ð n a r
sviðnir	s v ɪ ð n ɪ r
sviðs	s v ɪ ð s
sviðsetja	s v ɪ ð s ɛ t j a
sviðsett	s v ɪ ð s ɛ h t
sviðsins	s v ɪ ð s ɪ n s
sviðslistir	s v ɪ ð s t l ɪ s t ɪ r
sviðsljósinu	s v ɪ ð s t l j ou s ɪ n ʏ
sviðsljósið	s v ɪ ð s t l j ou s ɪ ð
sviðsmyndina	s v ɪ ð s m ɪ n t ɪ n a
sviðum	s v ɪː ð ʏ m
svo	s v ɔː
svokallað	s v ɔː k a t l a ð
svokallaða	s v ɔː k a t l a ð a
svokallaðan	s v ɔː k a t l a ð a n
svokallaðar	s v ɔː k a t l a ð a r
svokallaði	s v ɔː k a t l a ð ɪ
svokallaðir	s v ɔː k a t l a ð ɪ r
svokallaðra	s v ɔː k a t l a ð r a
svokallaðrar	s v ɔː k a t l a ð r a r
svokallaðri	s v ɔː k a t l a ð r ɪ
svokallaðs	s v ɔː k a t l a ð s
svokallaður	s v ɔː k a t l a ð ʏ r
svokölluð	s v ɔː k œ t l ʏ ð
svokölluðu	s v ɔː k œ t l ʏ ð ʏ
svokölluðum	s v ɔː k œ t l ʏ ð ʏ m
svoleiðis	s v ɔː l ei ð ɪ s
svolgra	s v ɔ l k r a
svolitla	s v ɔː l ɪ h t l a
svolitlum	s v ɔː l ɪ h t l ʏ m
svolítil	s v ɔː l i t ɪ l
svolítill	s v ɔː l i t ɪ t l̥
svolítilli	s v ɔː l i t ɪ t l ɪ
svolítinn	s v ɔː l i t ɪ n
svolítið	s v ɔː l i t ɪ ð
svona	s v ɔː n a
svonefnd	s v ɔː n ɛ m t
svonefnda	s v ɔː n ɛ m t a
svonefndan	s v ɔː n ɛ m t a n
svonefndar	s v ɔː n ɛ m t a r
svonefndra	s v ɔː n ɛ m t r a
svonefndri	s v ɔː n ɛ m t r ɪ
svonefndu	s v ɔː n ɛ m t ʏ
svonefndum	s v ɔː n ɛ m t ʏ m
svuntunni	s v ʏ n̥ t ʏ n ɪ
sváfu	s v auː v ʏ
sváfum	s v auː v ʏ m
svæfa	s v aiː v a
svæfi	s v aiː v ɪ
svæfu	s v aiː v ʏ
svæfði	s v ai v ð ɪ
svæðanna	s v aiː ð a n a
svæði	s v aiː ð ɪ
svæðis	s v aiː ð ɪ s
svæðisins	s v aiː ð ɪ s ɪ n s
svæðisskipulagi	s v aiː ð ɪ s c ɪː p ʏ l ai j ɪ
svæðið	s v aiː ð ɪ ð
svæðum	s v aiː ð ʏ m
svæðunum	s v aiː ð ɔ n ʏ m
svía	s v iː j a
svíar	s v iː j a r
svíarnir	s v iː j a t n ɪ r
svíf	s v iː v
svífa	s v iː v a
svífandi	s v iː v a n t ɪ
svífst	s v i f s t
svífur	s v iː v ʏ r
svíi	s v iː j ɪ
svíinn	s v iː j ɪ n
svíkja	s v iː c a
svíkur	s v iː k ʏ r
svín	s v iː n
svína	s v iː n a
svínabú	s v iː n a p u
svínakjöti	s v iː n a c œː t ɪ
svínalundir	s v iː n a l ʏ n t ɪ r
svínavatnshreppi	s v iː n a v a s r̥ ɛ h p ɪ
svíni	s v iː n ɪ
svínin	s v iː n ɪ n
svíninu	s v iː n ɪ n ʏ
svínið	s v iː n ɪ ð
svínshaus	s v i n s h œy s
svínshríni	s v i n s r̥ i n ɪ
svínvirkar	s v i n v ɪ r̥ k a r
svíta	s v iː t a
svítan	s v iː t a n
svítu	s v iː t ʏ
svíum	s v iː j ʏ m
svívirt	s v iː v ɪ r̥ t
svívirðingar	s v iː v ɪ r ð i ŋ k a r
svívirðingum	s v iː v ɪ r ð i ŋ k ʏ m
svívirðu	s v iː v ɪ r ð ʏ
svíðandi	s v iː ð a n t ɪ
svíður	s v iː ð ʏ r
svíþjóð	s v iː θ j ou ð
svöl	s v œː l
svölu	s v œː l ʏ
svölum	s v œː l ʏ m
svölun	s v œː l ʏ n
svölunum	s v œː l ɔ n ʏ m
svölustu	s v œː l ʏ s t ʏ
svömpum	s v œ m̥ p ʏ m
svöng	s v œy ŋ k
svönu	s v œː n ʏ
svör	s v œː r
svörfuður	s v œ r v ʏ ð ʏ r
svörin	s v œː r ɪ n
svört	s v œ r̥ t
svörtu	s v œ r̥ t ʏ
svörtum	s v œ r̥ t ʏ m
svörum	s v œː r ʏ m
svörun	s v œː r ʏ n
svörunum	s v œː r ɔ n ʏ m
svöruðu	s v œː r ʏ ð ʏ
svörðinn	s v œ r ð ɪ n
svövu	s v œː v ʏ
syfjaður	s ɪ v j a ð ʏ r
syfju	s ɪ v j ʏ
syfjulega	s ɪ v j ʏ l ɛ ɣ a
syfjulegum	s ɪ v j ʏ l ɛ ɣ ʏ m
sykki	s ɪ h c ɪ
sykur	s ɪː k ʏ r
sykurhúðaður	s ɪː k ʏ r̥ h uː ð a ð ʏ r
sykurmolunum	s ɪː k ʏ r m ɔː l ɔ n ʏ m
sykurpúða	s ɪː k ʏ r̥ pʰ uː ð a
sykurs	s ɪː k ʏ r̥ s
sykursjúkum	s ɪː k ʏ r̥ s j uː k ʏ m
syllu	s ɪ t l ʏ
syllum	s ɪ t l ʏ m
sylvía	s ɪ l v i j a
synd	s ɪ n t
synda	s ɪ n t a
syndajátningar	s ɪ n t a j au h t n i ŋ k a r
syndajátningu	s ɪ n t a j au h t n i ŋ k ʏ
syndandi	s ɪ n t a n t ɪ
syndanna	s ɪ n t a n a
syndara	s ɪ n t a r a
syndarann	s ɪ n t a r a n
syndga	s ɪ ŋ k a
syndin	s ɪ n t ɪ n
syndina	s ɪ n t ɪ n a
syndir	s ɪ n t ɪ r
syndum	s ɪ n t ʏ m
syng	s i ŋ k
syngdu	s i ŋ t ʏ
syngi	s i ɲ c ɪ
syngið	s i ɲ c ɪ ð
syngja	s i ɲ c a
syngjandi	s i ɲ c a n t ɪ
syngjum	s i ɲ c ʏ m
syngur	s i ŋ k ʏ r
syni	s ɪː n ɪ
synina	s ɪː n ɪ n a
syninum	s ɪː n ɪ n ʏ m
synir	s ɪː n ɪ r
synirnir	s ɪː n ɪ r t n ɪ r
synja	s ɪ n j a
synjað	s ɪ n j a ð
synjun	s ɪ n j ʏ n
synt	s ɪ n̥ t
synti	s ɪ n̥ t ɪ
syrgja	s ɪ r c a
syrgjandi	s ɪ r c a n t ɪ
syrgjum	s ɪ r c ʏ m
syrgði	s ɪ r ð ɪ
syrpu	s ɪ r̥ p ʏ
systir	s ɪ s t ɪ r
systirin	s ɪ s t ɪ r ɪ n
systkin	s ɪ s c ɪ n
systkina	s ɪ s c ɪ n a
systkinanna	s ɪ s c ɪ n a n a
systkini	s ɪ s c ɪ n ɪ
systkinin	s ɪ s c ɪ n ɪ n
systkinum	s ɪ s c ɪ n ʏ m
systkinunum	s ɪ s c ɪ n ɔ n ʏ m
systra	s ɪ s t r a
systrakaffi	s ɪ s t r a k a f ɪ
systralag	s ɪ s t r a l a ɣ
systranna	s ɪ s t r a n a
systrareglunnar	s ɪ s t r a r ɛ k l ʏ n a r
systrum	s ɪ s t r ʏ m
systrunum	s ɪ s t r ɔ n ʏ m
systur	s ɪ s t ʏ r
syðra	s ɪ ð r a
syðri	s ɪ ð r ɪ
syðridalsvelli	s ɪ ð r ɪ t a l s v ɛ t l ɪ
syðst	s ɪ ð s t
syðsti	s ɪ ð s t ɪ
sáir	s auː ɪ r
sál	s auː l
sálar	s auː l a r
sálarinnar	s auː l a r ɪ n a r
sálarkvöl	s auː l a r k v œː l
sálarró	s auː l a r ouː
sáldraði	s au l t r a ð ɪ
sálfræði	s au l f r ai ð ɪ
sálfræðinga	s au l f r ai ð i ŋ k a
sálfræðingar	s au l f r ai ð i ŋ k a r
sálfræðingi	s au l f r ai ð i ɲ c ɪ
sálfræðings	s au l f r ai ð i ŋ s
sálfræðingurinn	s au l f r ai ð i ŋ k ʏ r ɪ n
sálin	s auː l ɪ n
sálina	s auː l ɪ n a
sálinni	s auː l ɪ n ɪ
sálir	s auː l ɪ r
sálm	s au l m
sálma	s au l m a
sálmar	s au l m a r
sálmi	s au l m ɪ
sálmum	s au l m ʏ m
sálmur	s au l m ʏ r
sálna	s au l n a
sálu	s auː l ʏ
sáluga	s auː l ʏ ɣ a
sálugi	s auː l ʏi j ɪ
sálugu	s auː l ʏ ɣ ʏ
sápa	s auː p a
sápu	s auː p ʏ
sápuna	s auː p ʏ n a
sápunni	s auː p ʏ n ɪ
sár	s auː r
sára	s auː r a
sáran	s auː r a n
sárari	s auː r a r ɪ
sáraristilbólgu	s auː r a r ɪ s t ɪ l p ou l k ʏ
sárast	s auː r a s t
